type	value	comment
IP	35.207.126.9	#TWCERT25-07-20
SHA256	a9b33572237b100edf1d4c7b0a2071d68406e5931ab3957a962fcce4bfc2cc49	#TWCERT25-07-20
IP	180.211.99.165	#TEST_0828
IP	213.186.33.17	#TEST_0828
IP	103.152.79.201	#TEST_0828
IP	103.174.50.180	#TEST_0828
IP	103.200.23.159	#TEST_0828
IP	103.81.249.126	#TEST_0828
IP	113.161.118.234	#TEST_0828
IP	115.79.196.94	#TEST_0828
IP	118.17.43.4	#TEST_0828
IP	123.31.12.39	#TEST_0828
IP	14.225.254.70	#TEST_0828
IP	146.185.135.6	#TEST_0828
IP	149.28.128.19	#TEST_0828
IP	154.91.179.26	#TEST_0828
IP	160.251.96.90	#TEST_0828
IP	167.71.208.103	#TEST_0828
IP	174.138.27.243	#TEST_0828
IP	181.46.136.73	#TEST_0828
IP	190.92.174.86	#TEST_0828
IP	3.108.170.197	#TEST_0828
IP	3.111.171.205	#TEST_0828
IP	3.7.203.16	#TEST_0828
IP	34.87.147.222	#TEST_0828
IP	66.42.60.228	#TEST_0828
IP	8.218.30.127	#TEST_0828
IP	103.200.23.236	#TEST_0828
IP	103.55.39.44	#TEST_0828
IP	13.234.222.32	#TEST_0828
IP	14.141.23.250	#TEST_0828
IP	178.254.10.24	#TEST_0828
